Sample,numGrains,0-65 Ma,65-252 Ma,252-539 Ma,539-4500 Ma,0-65 Ma (%),65-252 Ma (%),252-539 Ma (%),539-4500 Ma (%)
Moraga Fm sediments (MV24-1; this study),96.0,6,79,1,10,0.0625,0.8229166666666666,0.010416666666666666,0.10416666666666667
Orinda Fm (OR24-1; this study),109.0,1,97,2,9,0.009174311926605505,0.8899082568807339,0.01834862385321101,0.08256880733944955
"Orinda Fm (JG-BH5; Gooley et al., 2021)",102.0,4,86,2,10,0.0392156862745098,0.8431372549019608,0.0196078431372549,0.09803921568627451
"Briones Fm (JG-BH8; Gooley et al., 2021)",115.0,23,80,1,11,0.2,0.6956521739130435,0.008695652173913044,0.09565217391304348
Claremont Fm sandstone (CSUF-4; this study),169.0,31,133,1,4,0.1834319526627219,0.7869822485207101,0.005917159763313609,0.023668639053254437
Great Valley Group (Sharman et al. 2015),375.0,0,348,4,23,0.0,0.928,0.010666666666666666,0.06133333333333333
"Franciscan Complex (Bero et al., 2020)",1273.0,0,1122,11,140,0.0,0.8813825608798115,0.00864100549882168,0.10997643362136685
"Sierra magmatic (Chapman et al., 2012)",653.0,0,637,16,0,0.0,0.9754977029096478,0.02450229709035222,0.0
