zircon,206Pb/238U,206Pb/238U_2sigma,include
z1,10.094,0.014,yes
z2,10.225,0.014,no
z3,10.212,0.014,no
z4,10.127,0.018,no
z5,10.593,0.015,no
z6,10.146,0.015,no
