SAMPLE_NAME,SAMPLE_HEIGHT,SAMPLE_AGE,SAMPLE_AGE_2SIGMA
CSUF-4,681.77,
JG-BH5,1331.53
OR24-2,1732.01
OR24-1,1733.21
MV24-1,1784.91
MT24-1,1894.36
SFM-1,2182.24
