LITHOLOGY,THICKNESS,FACIES
Great Valley Group,321,sandstone
Sobrante,168.27,siltstone
Claremont,522.5,chert
Orinda,728.64,conglomerate
Moraga,436.83,basalt
Siesta,94.7,siltstone
Bald Peak,47.7,basalt
