SAMPLE_NAME,SAMPLE_HEIGHT,X_PLOT,SAMPLE_AGE,SAMPLE_AGE_2SIGMA
CSUF-4,360.77,1,,
JG-BH5,1010.53,1,,
OR24-2,1411.01,1.9,,
OR24-1,1412.21,1,,
MV24-1,1463.91,1,,
MT24-1,1573.36,1,,
EBH15/BHR-1,1573.36,1.9,,
SFM-1,1861.24,1,,
