LITHOLOGY,THICKNESS,FACIES
Sobrante,168.3,Sobrante
Claremont,522.5,Claremont
Orinda,728.6,Orinda
Moraga,149,Moraga
Moraga Tuff,10,Moraga Tuff
Moraga,277.9,Moraga
Siesta,94.7,Siesta
Bald Peak,47.7,Bald Peak
