zircon,206Pb/238U,206Pb/238U_2sigma,include
z1,9.977706473,0.017473195,yes
z3,9.99505423,0.113406851,no
z5,133.0649443,0.095748186,no
z6,9.96716988,0.013956337,yes
z7,10.12362688,0.016966174,no
z8,9.972586529,0.013663584,yes
z9,9.990283306,0.0256311,yes
