zircon,206Pb/238U,206Pb/238U_2sigma,include
z1,13.29780266,0.043693495,yes
z3,14.56478706,0.042944376,no
z4,13.82727769,0.024368036,no
z5,13.67879024,0.235912311,no
z6,14.24900579,0.136276847,no
